"id","name_zh","name_en","election_type","person_id","matched","year","cacode","constituency_id","age","political_affiliation","camp","candidate_number","occupation","nominated_at","nominate_status","votes","vote_percentage","is_won"
4575,"李文浩","","ordinary",1508,,2019,"F02",,,"長沙灣社區發展力量","民主",," ","2019-10-08","nominated",0,0,false
4576,"龐朝輝","","ordinary",2751,,2019,"F02",,,"香港經濟民生聯盟","建制",," ","2019-10-09","nominated",0,0,false
4577,"鄭泳舜","","ordinary",1087,,2019,"F03",,,"民建聯","建制",,"立法會議員、區議員","2019-10-09","nominated",0,0,false
4578,"冼錦豪","","ordinary",2516,,2019,"F04",,," ","民主",,"社區主任","2019-10-08","nominated",0,0,false
4579,"何啟明","","ordinary",1846,,2019,"F05",,,"民協","民主",," ","2019-10-08","nominated",0,0,false
4580,"陳龍傑","","ordinary",2752,,2019,"F05",,,"民建聯","建制",,"立法會議員助理","2019-10-09","nominated",0,0,false
4581,"李庭豐","","ordinary",2073,,2019,"F06",,,"民協","民主",,"社區主任","2019-10-08","nominated",0,0,false
4582,"林倩同","","ordinary",2517,,2019,"F07",,," ","民主",,"社區主任","2019-10-08","nominated",0,0,false
4583,"劉佩玉","","ordinary",927,,2019,"F07",,,"民建聯","建制",,"區議員","2019-10-09","nominated",0,0,false
4584,"衞煥南","","ordinary",1151,,2019,"F08",,,"民協","民主",,"區議員","2019-10-04","nominated",0,0,false
4585,"李炯","","ordinary",1745,,2019,"F10",,,"香港民主民生協進會","民主",," ","2019-10-04","nominated",0,0,false
4586,"陳穎欣","","ordinary",2011,,2019,"F10",,,"工聯會、民建聯","建制",,"全職區議員","2019-10-09","nominated",0,0,false
4587,"徐溢軒","","ordinary",2518,,2019,"F11",,,"香港民主民生協進會","民主",,"註冊社工","2019-10-08","nominated",0,0,false
4588,"張德偉","","ordinary",2012,,2019,"F11",,,"民建聯","建制",," ","2019-10-09","nominated",0,0,false
4589,"鄒穎恒","","ordinary",1662,,2019,"F12",,,"民主黨","民主",,"區議員","2019-10-08","nominated",0,0,false
4590,"袁海文","","ordinary",423,,2019,"F13",,,"民主黨","民主",,"區議員","2019-10-05","nominated",0,0,false
4591,"李祺逢","","ordinary",1564,,2019,"F13",,,"香港經濟民生聯盟","建制",," ","2019-10-09","nominated",0,0,false
4592,"楊彧","","ordinary",1778,,2019,"F14",,,"民協","民主",,"區議員","2019-10-08","nominated",0,0,false
4593,"吳婉秋","","ordinary",2753,,2019,"F14",,,"民建聯","建制",," ","2019-10-09","nominated",0,0,false
4594,"周琬雯","","ordinary",2519,,2019,"F15",,,"公民黨","民主",," ","2019-10-08","nominated",0,0,false
