id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
2859,WONG Yi Christine,黃宜,1981,,FEMALE,,e35c4cd0-199d-4e90-8041-4abc101aa1d8,7e66bbfc-7173-40db-9e2a-8abdb7096215,,
1900,WONG KA CHUN,黃家俊,1987,,MALE,,c47870ce-8ad3-4259-9661-bed30844a4e9,,,
714,WONG KA LOK WILLIAM,黃家樂,1977,,MALE,,ae4ffd60-d1f1-4a6a-9585-efbecbfa6886,,,
1492,WONG KA LOK,黃家樂,1981,,MALE,,ae714040-3a88-4b51-acb7-14251151955d,b298541a-6430-4b4f-91b3-93e0de3412f2,,
676,WONG Ka-wai,黃家維,1981,,MALE,,5011960f-810f-4311-b01e-df6996ee6eb0,,,
291,WONG KA WA,黃家華,1972,,MALE,公民黨,01d1e894-7349-4cf2-b5c3-3d43d9c33a3c,5592d6f9-1dc4-4d7e-bc17-a9f70841123b,,
446,WONG YUNG KAN,黃容根,1951,,MALE,,da6a8d1e-6a88-432f-b663-bd1740fca11b,,,
1503,WONG PO YI,黃寶兒,1991,,FEMALE,,f87c78b0-3d0a-4f36-ac7e-3e05e342b61e,,,
31,,黃寶山,1946,,MALE,,fe932e79-f327-43af-8578-58508c436278,,,
2310,,黃尉聰,1960,,MALE,,130ccd5d-1589-4977-a85b-fb79492d5935,,,
2167,WONG KIN PAN,黃建彬,1954,,MALE,民建聯,347d2a97-cddf-4119-a70b-f02fda77a5d2,9d14640a-1d57-4737-b1e6-e58ff7c95a3f,,
94,WONG KIN SAN,黃建新,1979,,MALE,經民聯,f1e49ac7-5a36-498d-aa84-e49ead42283a,bfc42d35-bae8-4d8f-9e35-2cdab9585115,,
1351,WONG CHOI MEI,黃彩媚,1967,,FEMALE,,5f47c671-8dd3-4961-9e25-d619ab07070d,,,
86,WONG TAK SHING,黃德成,1966,,MALE,,50a1e5c9-ad9f-4def-ac12-3312e21ffead,,,
1627,WONG TAK CHI,黃德智,1978,,MALE,,6539355f-6a81-49a8-9481-909c5e4d644e,,,
373,WONG CHI YUNG,黃志勇,1980,,MALE,,ce01deee-0576-4ec8-bc03-226465943162,,,
